HITId,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.storageLink,Input.tags,Answer.nomore,Answer.notpossible,Answer.selectedtags_manual,Answer.selectedtags_tags
1,11,13,Mon Sep 02 09:19:35 PDT 2019,Mon Sep 02 09:30:50 PDT 2019,675,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},The tags don't refer to any organizations in the video.,{},[]
1,12,4,Mon Sep 02 08:55:26 PDT 2019,Mon Sep 02 09:12:07 PDT 2019,1001,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""convertible"",""sports car"",""public transport"",""car manufacturer""]"
1,13,20,Mon Sep 02 08:52:05 PDT 2019,Mon Sep 02 09:03:34 PDT 2019,689,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""convertible"",""car manufacturer"",""sports car""]"
1,14,19,Mon Sep 02 08:52:13 PDT 2019,Mon Sep 02 08:55:35 PDT 2019,202,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,No other tags are relevant because they don't refer to organizations in the clip.,{},{},"[""car manufacturer"",""sports car""]"
1,15,18,Mon Sep 02 08:54:19 PDT 2019,Mon Sep 02 08:59:32 PDT 2019,313,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""car manufacturer"",""public transport"",""public relations""]"
7,16,19,Mon Sep 02 08:52:16 PDT 2019,Mon Sep 02 08:58:54 PDT 2019,398,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,No other tags are relevant because they don't refer to organizations in the clip.,{},{},"[""BBC News""]"
7,17,5,Mon Sep 02 08:54:18 PDT 2019,Mon Sep 02 09:01:53 PDT 2019,455,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,"more should be related to interview, royalty",{},{},"[""business"",""public relations""]"
7,18,15,Mon Sep 02 08:52:04 PDT 2019,Mon Sep 02 09:03:49 PDT 2019,705,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""public relations"",""BBC News"",""organization"",""company""]"
7,19,13,Mon Sep 02 08:57:41 PDT 2019,Mon Sep 02 09:08:00 PDT 2019,619,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,The tags are missing some of the organizations in the video.,{},{},"[""BBC News""]"
7,20,23,Mon Sep 02 08:53:22 PDT 2019,Mon Sep 02 09:00:14 PDT 2019,412,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""government"",""public relations"",""smile""]"
7,21,20,Mon Sep 02 08:52:08 PDT 2019,Mon Sep 02 09:04:08 PDT 2019,720,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""government"",""public relations"",""car crash TV"",""BBC News""]"
7,22,9,Mon Sep 02 08:52:17 PDT 2019,Mon Sep 02 08:55:01 PDT 2019,164,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""BBC News"",""government"",""car crash TV""]"
7,23,24,Mon Sep 02 08:58:38 PDT 2019,Mon Sep 02 09:01:47 PDT 2019,189,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},Video is about Molly Mendrum having issue interviewing prince Charles.,{},[]
7,24,2,Mon Sep 02 08:53:18 PDT 2019,Mon Sep 02 08:53:53 PDT 2019,35,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,"it's a clip about the prince and comedy, only 2 tags",{},{},"[""government"",""BBC News""]"
7,25,14,Mon Sep 02 08:58:36 PDT 2019,Mon Sep 02 09:00:25 PDT 2019,109,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,none of the other tags refer to organizations relevant to the content of the video,{},{},"[""government""]"
7,26,18,Mon Sep 02 09:00:37 PDT 2019,Mon Sep 02 09:09:41 PDT 2019,544,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""car crash TV"",""BBC News"",""government""]"
7,27,16,Mon Sep 02 08:53:07 PDT 2019,Mon Sep 02 09:06:02 PDT 2019,775,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""government"",""car crash TV"",""smile"",""BBC News""]"
7,28,6,Mon Sep 02 08:52:38 PDT 2019,Mon Sep 02 08:54:22 PDT 2019,104,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""government"",""city council"",""BBC News""]"
7,29,25,Mon Sep 02 09:27:26 PDT 2019,Mon Sep 02 09:29:21 PDT 2019,115,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""government"",""BBC News"",""business""]"
7,30,4,Mon Sep 02 08:54:49 PDT 2019,Mon Sep 02 09:11:14 PDT 2019,985,vuk9mP0Vz7M.mp4,smile_###_company_###_public relations_###_government_###_city council_###_business_###_organization_###_BBC News_###_car crash TV,{},{},{},"[""business"",""smile"",""public relations"",""organization"",""city council"",""government"",""BBC News""]"
4,31,1,Mon Sep 02 08:54:11 PDT 2019,Mon Sep 02 09:09:25 PDT 2019,914,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,No other tags seem appropriate or fit the video.,{},{},"[""military police""]"
4,32,2,Mon Sep 02 08:54:18 PDT 2019,Mon Sep 02 08:54:32 PDT 2019,14,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""sports car"",""sedan"",""chevrolet""]"
4,33,13,Mon Sep 02 08:52:49 PDT 2019,Mon Sep 02 09:01:11 PDT 2019,502,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},There are no tags that are relevant to what the video contains.,{},[]
4,34,14,Mon Sep 02 08:55:04 PDT 2019,Mon Sep 02 08:59:08 PDT 2019,244,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},there are no organization tags relevant to the video.,{},[]
4,35,15,Mon Sep 02 08:52:03 PDT 2019,Mon Sep 02 08:58:14 PDT 2019,371,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,"All related to specific cars that aren't related and kids tv shows, etc.",{},{},"[""sports car"",""smile""]"
4,36,24,Mon Sep 02 08:56:52 PDT 2019,Mon Sep 02 09:00:07 PDT 2019,195,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""sedan"",""chevrolet"",""sports car""]"
4,37,4,Mon Sep 02 08:54:49 PDT 2019,Mon Sep 02 09:10:26 PDT 2019,937,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""community"",""sports car"",""chevrolet"",""smile"",""golf club"",""military police""]"
4,38,19,Mon Sep 02 08:52:09 PDT 2019,Mon Sep 02 08:54:35 PDT 2019,146,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""sports car"",""Nickelodeon"",""military police""]"
4,39,16,Mon Sep 02 08:53:27 PDT 2019,Mon Sep 02 09:11:01 PDT 2019,1054,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""chevrolet"",""Nickelodeon"",""sports car""]"
4,40,9,Mon Sep 02 08:52:23 PDT 2019,Mon Sep 02 08:56:35 PDT 2019,252,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""military police"",""sports car"",""sedan""]"
4,41,5,Mon Sep 02 08:55:03 PDT 2019,Mon Sep 02 09:04:07 PDT 2019,544,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""sedan"",""chevrolet"",""sports car""]"
4,42,6,Mon Sep 02 08:52:44 PDT 2019,Mon Sep 02 08:56:05 PDT 2019,201,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},None of the tags describe organizations,{},[]
4,43,18,Mon Sep 02 09:02:28 PDT 2019,Mon Sep 02 09:12:09 PDT 2019,581,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""Nickelodeon"",""chevrolet"",""sports car""]"
4,44,23,Mon Sep 02 08:53:32 PDT 2019,Mon Sep 02 09:05:43 PDT 2019,731,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""chevrolet"",""sports car"",""sedan""]"
4,45,20,Mon Sep 02 08:52:18 PDT 2019,Mon Sep 02 09:05:37 PDT 2019,799,lVMN_iO62Dc.mp4,smile_###_volkswagen_###_sedan_###_military police_###_golf club_###_public transport_###_community_###_toyota_###_sports car_###_bmw_###_chevrolet_###_convertible_###_Nickelodeon,{},{},{},"[""chevrolet"",""sedan"",""military police"",""sports car""]"
9,46,20,Mon Sep 02 08:52:14 PDT 2019,Mon Sep 02 09:04:59 PDT 2019,765,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Academy"",""Hollywood Studios"",""public relations""]"
9,47,17,Mon Sep 02 08:55:46 PDT 2019,Mon Sep 02 08:57:45 PDT 2019,119,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""public relations"",""Academy"",""Hollywood Studios"",""business""]"
9,48,5,Mon Sep 02 08:53:25 PDT 2019,Mon Sep 02 08:56:24 PDT 2019,179,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,"more need to be related to protest, racism",{},{},"[""Academy"",""public relations""]"
9,49,18,Mon Sep 02 09:08:51 PDT 2019,Mon Sep 02 09:13:38 PDT 2019,287,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Hollywood Studios"",""public relations"",""Academy""]"
9,50,25,Mon Sep 02 08:59:14 PDT 2019,Mon Sep 02 09:00:28 PDT 2019,74,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""business"",""Hollywood Studios"",""Academy""]"
9,51,6,Mon Sep 02 08:52:45 PDT 2019,Mon Sep 02 08:56:24 PDT 2019,219,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,None of the other tags describe relevant organizations,{},{},"[""Hollywood Studios"",""Academy""]"
9,52,19,Mon Sep 02 08:52:13 PDT 2019,Mon Sep 02 08:54:56 PDT 2019,163,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Academy"",""Hollywood Studios"",""company""]"
9,53,2,Mon Sep 02 08:52:17 PDT 2019,Mon Sep 02 08:52:39 PDT 2019,22,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""public relations"",""Hollywood Studios"",""Academy""]"
9,54,16,Mon Sep 02 08:53:15 PDT 2019,Mon Sep 02 09:07:08 PDT 2019,833,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Academy"",""Hollywood Studios"",""company"",""business""]"
9,55,14,Mon Sep 02 08:52:29 PDT 2019,Mon Sep 02 08:58:24 PDT 2019,355,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,none of the other tags refer to organizations relevant to the content of the video,{},{},"[""Academy"",""Hollywood Studios""]"
9,56,24,Mon Sep 02 08:57:04 PDT 2019,Mon Sep 02 09:01:02 PDT 2019,238,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},Should have tags about Jada Pinkett Smith talking about nominations being all white.,{},[]
9,57,13,Mon Sep 02 08:54:22 PDT 2019,Mon Sep 02 09:05:36 PDT 2019,674,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,The tags are missing some of the organizations in the video.,{},{},"[""Hollywood Studios"",""Academy""]"
9,58,4,Mon Sep 02 08:54:37 PDT 2019,Mon Sep 02 08:56:42 PDT 2019,125,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Academy"",""public relations"",""company"",""Hollywood Studios"",""business""]"
9,59,23,Mon Sep 02 08:52:27 PDT 2019,Mon Sep 02 08:53:44 PDT 2019,77,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""business"",""public relations"",""Hollywood Studios""]"
9,60,9,Mon Sep 02 08:52:26 PDT 2019,Mon Sep 02 08:57:32 PDT 2019,306,elR2XL8rLtU.mp4,smile_###_public relations_###_company_###_business_###_Hollywood Studios_###_Academy,{},{},{},"[""Academy"",""Hollywood Studios"",""public relations""]"
2,61,18,Mon Sep 02 08:59:32 PDT 2019,Mon Sep 02 09:02:03 PDT 2019,151,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""BBC News"",""club"",""Caverns"",""Fire and Water Falls""]"
2,62,2,Mon Sep 02 08:52:39 PDT 2019,Mon Sep 02 08:52:50 PDT 2019,11,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""sports clubs"",""Caverns"",""club"",""BBC News""]"
2,63,9,Mon Sep 02 08:52:25 PDT 2019,Mon Sep 02 08:57:05 PDT 2019,280,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},Doesn't mention trampolines at all.,{},[]
2,64,14,Mon Sep 02 08:52:23 PDT 2019,Mon Sep 02 08:58:07 PDT 2019,344,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,none of the other tags refer to organizations relevant to the content of the video,{},{},"[""BBC News""]"
2,65,15,Mon Sep 02 08:52:06 PDT 2019,Mon Sep 02 09:07:51 PDT 2019,945,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,Nothing else is related to any of the other tags.,{},{},"[""club"",""BBC News""]"
2,66,6,Mon Sep 02 08:52:36 PDT 2019,Mon Sep 02 08:54:04 PDT 2019,88,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""Fire and Water Falls"",""Caverns"",""BBC News""]"
2,67,5,Mon Sep 02 08:54:40 PDT 2019,Mon Sep 02 09:05:43 PDT 2019,663,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""sports clubs"",""Caverns"",""smile"",""BBC News"",""club""]"
2,68,1,Mon Sep 02 08:53:27 PDT 2019,Mon Sep 02 08:57:21 PDT 2019,234,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},The tags are not really relevant.,{},[]
2,69,20,Mon Sep 02 08:52:05 PDT 2019,Mon Sep 02 09:03:51 PDT 2019,706,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""sports clubs"",""BBC News"",""club""]"
2,70,4,Mon Sep 02 08:54:41 PDT 2019,Mon Sep 02 08:58:20 PDT 2019,219,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""Caverns"",""Fire and Water Falls"",""club"",""sports clubs"",""BBC News""]"
2,71,24,Mon Sep 02 08:56:38 PDT 2019,Mon Sep 02 09:00:03 PDT 2019,205,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,video is about a underground cave trampoline park,video is about a underground cave trampoline park,{},[]
2,72,19,Mon Sep 02 08:52:14 PDT 2019,Mon Sep 02 08:57:30 PDT 2019,316,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""sports clubs"",""BBC News"",""club"",""Caverns""]"
2,73,16,Mon Sep 02 08:53:19 PDT 2019,Mon Sep 02 09:07:20 PDT 2019,841,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""BBC News"",""Caverns"",""club"",""sports clubs""]"
2,74,23,Mon Sep 02 08:53:12 PDT 2019,Mon Sep 02 08:55:22 PDT 2019,130,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,{},{},{},"[""smile"",""Caverns"",""sports clubs""]"
2,75,13,Mon Sep 02 08:52:56 PDT 2019,Mon Sep 02 09:01:25 PDT 2019,509,Z6xTxbQeSsI.mp4,smile_###_club_###_Fire and Water Falls_###_sports clubs_###_BBC News_###_Caverns,It is missing more tags that refer to organizations in the clip.,{},{},"[""BBC News""]"
8,76,14,Mon Sep 02 08:52:06 PDT 2019,Mon Sep 02 08:54:39 PDT 2019,153,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,other tags have no meaningful relevance to the content,{},{},"[""public relations""]"
8,77,15,Mon Sep 02 08:52:04 PDT 2019,Mon Sep 02 09:01:59 PDT 2019,595,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,Because they are generic in nature.,{},{},"[""public relations""]"
8,78,20,Mon Sep 02 08:52:19 PDT 2019,Mon Sep 02 09:05:46 PDT 2019,807,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},{},{},"[""city council"",""CBS"",""public relations""]"
8,79,23,Mon Sep 02 08:53:18 PDT 2019,Mon Sep 02 08:58:12 PDT 2019,294,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},{},{},"[""CBS"",""public relations"",""smile""]"
8,80,2,Mon Sep 02 08:53:54 PDT 2019,Mon Sep 02 08:54:18 PDT 2019,24,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},"it's about charlie sheen and two and a half men, no relevant tags",{},[]
8,81,9,Mon Sep 02 08:52:30 PDT 2019,Mon Sep 02 08:58:59 PDT 2019,389,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,doesn't mention Charlie Sheen or 2 and a half men,{},{},"[""CBS""]"
8,82,17,Mon Sep 02 08:54:00 PDT 2019,Mon Sep 02 08:55:43 PDT 2019,103,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},{},{},"[""CBS"",""public relations"",""smile""]"
8,83,13,Mon Sep 02 08:53:41 PDT 2019,Mon Sep 02 09:03:12 PDT 2019,571,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,The tags are missing some of the organizations in the video.,{},{},"[""CBS""]"
8,84,24,Mon Sep 02 08:56:49 PDT 2019,Mon Sep 02 09:00:44 PDT 2019,235,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},Video is a audio interview or conversation with Charlie Sheen about going back to work.,{},[]
8,85,19,Mon Sep 02 08:52:17 PDT 2019,Mon Sep 02 09:00:20 PDT 2019,483,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,No other tags are relevant because they don't refer to organizations in the clip.,{},{},"[""CBS""]"
8,86,1,Mon Sep 02 08:52:09 PDT 2019,Mon Sep 02 08:53:57 PDT 2019,108,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,No other tags seem appropriate or fit the video.,{},{},"[""CBS""]"
8,87,6,Mon Sep 02 08:52:41 PDT 2019,Mon Sep 02 08:55:30 PDT 2019,169,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,None of the other tags describe relevant organizations,{},{},"[""CBS""]"
8,88,5,Mon Sep 02 08:54:34 PDT 2019,Mon Sep 02 08:57:20 PDT 2019,166,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,"more should be related to employment, interview",{},{},"[""public relations""]"
8,89,16,Mon Sep 02 08:53:03 PDT 2019,Mon Sep 02 09:05:47 PDT 2019,764,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,"This news update about Charlie Sheen trying to return to work on the set of Two and a Half Men is relevant to CBS, but the other tags are not very relevant because they don't have much to do with the actors or the show itself.",{},{},"[""CBS""]"
8,90,4,Mon Sep 02 08:54:50 PDT 2019,Mon Sep 02 09:11:26 PDT 2019,996,zSsnGkNRAlE.mp4,smile_###_city council_###_public relations_###_CBS,{},{},{},"[""city council"",""CBS"",""public relations""]"
5,91,16,Mon Sep 02 08:53:01 PDT 2019,Mon Sep 02 09:04:34 PDT 2019,693,X-zLKAGEFmg.mp4,smile_###_sports car_###_public relations,"This clip about the movie premiere of the Batman movie has 2 relevant tags, but the remaining tag of 'sports car' is not really relevant.",{},{},"[""public relations"",""smile""]"
