ItemIndex,Item,Repetition,Rater,RaterIndex,Relevance
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,24,24,0
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,28,28,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,33,33,1
5,j_70OVLHHPc.mp4-automotive mirror,Repetition 1,34,34,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,2,2,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,5,5,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,6,6,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,7,7,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,8,8,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,10,10,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,15,15,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,16,16,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,20,20,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,22,22,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,23,23,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,24,24,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,28,28,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,33,33,0
6,j_70OVLHHPc.mp4-chin,Repetition 1,34,34,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,2,2,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,5,5,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,6,6,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,7,7,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,8,8,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,10,10,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,15,15,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,16,16,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,20,20,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,22,22,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,23,23,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,24,24,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,28,28,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,33,33,0
7,j_70OVLHHPc.mp4-midnight,Repetition 1,34,34,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,2,2,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,5,5,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,6,6,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,7,7,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,8,8,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,10,10,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,15,15,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,16,16,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,20,20,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,22,22,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,23,23,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,24,24,0
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,28,28,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,33,33,1
8,j_70OVLHHPc.mp4-automotive window part,Repetition 1,34,34,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,2,2,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,5,5,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,6,6,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,7,7,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,8,8,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,10,10,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,15,15,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,16,16,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,20,20,0
9,j_70OVLHHPc.mp4-coupé,Repetition 1,22,22,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,23,23,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,24,24,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,28,28,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,33,33,1
9,j_70OVLHHPc.mp4-coupé,Repetition 1,34,34,1
10,j_70OVLHHPc.mp4-tip,Repetition 1,2,2,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,5,5,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,6,6,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,7,7,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,8,8,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,10,10,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,15,15,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,16,16,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,20,20,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,22,22,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,23,23,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,24,24,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,28,28,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,33,33,0
10,j_70OVLHHPc.mp4-tip,Repetition 1,34,34,0
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,2,2,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,5,5,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,6,6,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,7,7,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,8,8,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,10,10,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,15,15,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,16,16,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,20,20,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,22,22,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,23,23,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,24,24,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,28,28,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,33,33,1
11,j_70OVLHHPc.mp4-luxury cars,Repetition 1,34,34,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,2,2,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,5,5,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,6,6,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,7,7,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,8,8,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,10,10,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,15,15,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,16,16,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,20,20,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,22,22,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,23,23,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,24,24,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,28,28,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,33,33,1
12,j_70OVLHHPc.mp4-cars,Repetition 1,34,34,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,2,2,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,3,3,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,7,7,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,8,8,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,9,9,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,10,10,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,12,12,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,15,15,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,16,16,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,20,20,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,22,22,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,25,25,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,30,30,0
13,j_70OVLHHPc.mp4-electronics,Repetition 1,33,33,1
13,j_70OVLHHPc.mp4-electronics,Repetition 1,34,34,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,2,2,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,3,3,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,7,7,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,8,8,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,9,9,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,10,10,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,12,12,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,15,15,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,16,16,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,20,20,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,22,22,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,25,25,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,30,30,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,33,33,0
14,j_70OVLHHPc.mp4-organ,Repetition 1,34,34,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,2,2,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,3,3,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,7,7,1
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,8,8,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,9,9,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,10,10,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,12,12,1
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,15,15,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,16,16,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,20,20,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,22,22,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,25,25,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,30,30,0
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,33,33,1
15,j_70OVLHHPc.mp4-digital compositing,Repetition 1,34,34,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,2,2,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,3,3,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,7,7,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,8,8,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,9,9,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,10,10,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,12,12,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,15,15,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,16,16,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,20,20,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,22,22,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,25,25,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,30,30,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,33,33,0
16,j_70OVLHHPc.mp4-vehicle registration plate,Repetition 1,34,34,0
17,j_70OVLHHPc.mp4-night,Repetition 1,2,2,0
17,j_70OVLHHPc.mp4-night,Repetition 1,3,3,0
17,j_70OVLHHPc.mp4-night,Repetition 1,7,7,0
17,j_70OVLHHPc.mp4-night,Repetition 1,8,8,0
17,j_70OVLHHPc.mp4-night,Repetition 1,9,9,0
17,j_70OVLHHPc.mp4-night,Repetition 1,10,10,0
17,j_70OVLHHPc.mp4-night,Repetition 1,12,12,0
17,j_70OVLHHPc.mp4-night,Repetition 1,15,15,0
17,j_70OVLHHPc.mp4-night,Repetition 1,16,16,0
17,j_70OVLHHPc.mp4-night,Repetition 1,20,20,0
17,j_70OVLHHPc.mp4-night,Repetition 1,22,22,0
17,j_70OVLHHPc.mp4-night,Repetition 1,25,25,0
17,j_70OVLHHPc.mp4-night,Repetition 1,30,30,0
17,j_70OVLHHPc.mp4-night,Repetition 1,33,33,0
17,j_70OVLHHPc.mp4-night,Repetition 1,34,34,0
18,j_70OVLHHPc.mp4-film,Repetition 1,2,2,0
18,j_70OVLHHPc.mp4-film,Repetition 1,3,3,0
18,j_70OVLHHPc.mp4-film,Repetition 1,7,7,0
18,j_70OVLHHPc.mp4-film,Repetition 1,8,8,0
18,j_70OVLHHPc.mp4-film,Repetition 1,9,9,0
18,j_70OVLHHPc.mp4-film,Repetition 1,10,10,0
18,j_70OVLHHPc.mp4-film,Repetition 1,12,12,0
18,j_70OVLHHPc.mp4-film,Repetition 1,15,15,0
18,j_70OVLHHPc.mp4-film,Repetition 1,16,16,0
18,j_70OVLHHPc.mp4-film,Repetition 1,20,20,0
18,j_70OVLHHPc.mp4-film,Repetition 1,22,22,0
18,j_70OVLHHPc.mp4-film,Repetition 1,25,25,0
18,j_70OVLHHPc.mp4-film,Repetition 1,30,30,0
18,j_70OVLHHPc.mp4-film,Repetition 1,33,33,0
18,j_70OVLHHPc.mp4-film,Repetition 1,34,34,0
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,2,2,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,3,3,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,7,7,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,8,8,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,9,9,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,10,10,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,12,12,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,15,15,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,16,16,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,20,20,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,22,22,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,25,25,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,30,30,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,33,33,1
19,j_70OVLHHPc.mp4-motor vehicle,Repetition 1,34,34,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,2,2,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,3,3,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,7,7,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,8,8,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,9,9,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,10,10,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,12,12,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,15,15,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,16,16,0
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,20,20,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,22,22,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,25,25,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,30,30,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,33,33,1
20,j_70OVLHHPc.mp4-automotive exterior,Repetition 1,34,34,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,2,2,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,3,3,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,7,7,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,8,8,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,9,9,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,10,10,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,12,12,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,15,15,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,16,16,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,20,20,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,22,22,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,25,25,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,30,30,0
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,33,33,1
21,j_70OVLHHPc.mp4-3d modeling,Repetition 1,34,34,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,2,2,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,3,3,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,7,7,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,8,8,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,9,9,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,10,10,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,12,12,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,15,15,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,16,16,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,20,20,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,22,22,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,25,25,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,30,30,0
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,33,33,1
22,j_70OVLHHPc.mp4-Mobility,Repetition 1,34,34,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,2,2,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,3,3,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,7,7,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,8,8,0
23,j_70OVLHHPc.mp4-consumers,Repetition 1,9,9,0
23,j_70OVLHHPc.mp4-consumers,Repetition 1,10,10,0
23,j_70OVLHHPc.mp4-consumers,Repetition 1,12,12,0
23,j_70OVLHHPc.mp4-consumers,Repetition 1,15,15,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,16,16,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,20,20,0
23,j_70OVLHHPc.mp4-consumers,Repetition 1,22,22,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,25,25,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,30,30,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,33,33,1
23,j_70OVLHHPc.mp4-consumers,Repetition 1,34,34,1
24,j_70OVLHHPc.mp4-skin,Repetition 1,2,2,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,3,3,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,7,7,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,8,8,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,9,9,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,10,10,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,12,12,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,13,13,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,15,15,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,16,16,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,22,22,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,25,25,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,32,32,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,33,33,0
24,j_70OVLHHPc.mp4-skin,Repetition 1,34,34,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,2,2,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,3,3,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,7,7,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,8,8,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,9,9,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,10,10,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,12,12,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,13,13,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,15,15,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,16,16,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,22,22,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,25,25,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,32,32,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,33,33,0
25,j_70OVLHHPc.mp4-nose,Repetition 1,34,34,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,2,2,1
26,j_70OVLHHPc.mp4-communication,Repetition 1,3,3,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,7,7,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,8,8,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,9,9,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,10,10,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,12,12,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,13,13,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,15,15,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,16,16,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,22,22,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,25,25,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,32,32,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,33,33,0
26,j_70OVLHHPc.mp4-communication,Repetition 1,34,34,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,2,2,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,3,3,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,7,7,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,8,8,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,9,9,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,10,10,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,12,12,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,13,13,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,15,15,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,16,16,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,22,22,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,25,25,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,32,32,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,33,33,0
27,j_70OVLHHPc.mp4-beard,Repetition 1,34,34,0
