Word 1,Word 2,Human (mean),std,Mean Repetition 2,Std Repetition 2,Mean Repetition 3,Std Repetition 3
food,fruit,7.5192307692,1.023,8.692307692,1.561762647,7.576923077,2.129614146
food,preparation,6.0384615385,1.478,4.807692308,2.90501335,4.192307692,3.106032179
food,rooster,4.4230769231,2.216,3.153846154,2.401255014,4.230769231,2.538170146
football,basketball,6.8076923077,1.854,4.653846154,3.125064102,4.923076923,2.72982107
football,soccer,9.0307692308,0.915,8.461538462,1.898042176,8.346153846,2.2303271
football,tennis,6.6346153846,1.775,3.5,2.886751346,3.807692308,2.454065178
forest,graveyard,1.8461538462,1.772,1.307692308,1.19962601,1.769230769,1.3634421
fuck,sex,9.4423076923,0.765,9.346153846,1.344504484,8.846153846,1.505332402
furnace,stove,8.7884615385,1.089,7.769230769,1.888731768,6.807692308,2.046729724
game,defeat,7.1153846154,1.121,3.615384615,2.526145336,3.884615385,2.364263858
game,round,6.1153846154,1.734,5.038461538,3.105516184,6.5,2.62995564
game,series,6.0769230769,1.924,5.769230769,1.93234944,4.846153846,2.771767001
game,team,7.6923076923,1.234,6.346153846,2.687816767,6.153846154,2.239648553
game,victory,7.0384615385,1.198,5.846153846,2.568921753,6.153846154,2.383839824
gem,jewel,8.9615384615,1.282,9.192307692,0.7227972727,7.961538462,1.908986844
gender,equality,6.1153846154,2.002,5.153846154,2.640901167,3.5,3.259601203
glass,magician,2.0769230769,2.813,1.076923077,1.239054644,1.307692308,1.521217461
glass,metal,6.0,1.354,3.038461538,1.506396618,3.576923077,3.245805972
government,crisis,6.4615384615,1.198,3.653846154,2.134875244,2.692307692,2.194106325
governor,interview,3.0769230769,2.362,1.692307692,1.726490437,2.192307692,1.182131929
governor,office,5.9615384615,2.086,5.923076923,2.564551243,5.230769231,2.905564952
grocery,money,6.2307692308,1.602,2.769230769,2.269502374,2.423076923,2.834652785
Harvard,Yale,8.6923076923,0.879,7.884615385,1.733900302,7.307692308,2.512787807
holy,sex,1.6153846154,2.181,0.5384615385,0.9456377579,1.307692308,1.331328621
hospital,infrastructure,4.3846153846,1.609,3.615384615,3.001068186,4.653846154,2.981782293
hotel,reservation,7.8846153846,0.87,6.807692308,2.854371366,6.423076923,2.556414757
hundred,percent,7.2307692308,2.088,5.192307692,2.586329941,5.653846154,2.134875244
image,surface,4.0,2.041,2.846153846,2.461237962,3.884615385,2.161730076
impartiality,interest,5.5,2.872,3.461538462,2.665063621,2.461538462,2.240363981
investigation,effort,4.3461538462,2.304,4.346153846,2.339734809,3.576923077,1.987944435
investor,earning,7.0769230769,1.382,7.384615385,1.938146087,5.923076923,3.271379384
jaguar,car,7.2692307692,1.81,6.807692308,1.995186515,6.384615385,2.91657509
jaguar,cat,7.4230769231,1.256,8.730769231,0.9490210881,8.807692308,1.182131929
Japanese,American,6.8461538462,1.42,2.346153846,2.461237962,3.0,2.466441431
Jerusalem,Israel,8.4615384615,0.749,8.192307692,1.898886313,7.346153846,1.951330907
Jerusalem,Palestinian,7.6538461538,1.599,7.076923077,1.945573543,6.923076923,2.652405778
journal,association,5.1153846154,2.293,3.423076923,2.540063597,4.0,2.169869428
journey,car,5.8461538462,1.144,4.153846154,2.435711869,4.538461538,2.202853627
journey,voyage,9.2884615385,1.29,8.961538462,1.71344607,8.307692308,2.428463691
king,cabbage,0.2307692308,0.439,0.2307692308,0.2594372608,0.5384615385,1.215550946
king,queen,8.5769230769,0.838,7.884615385,2.218800785,7.076923077,2.325995789
king,rook,5.9230769231,2.79,4.807692308,3.412833998,5.461538462,2.375758988
lad,brother,4.4615384615,1.994,5.807692308,2.136376035,6.307692308,2.496150883
lad,wizard,0.9230769231,1.32,1.615384615,1.356371479,2.615384615,2.701495312
law,lawyer,8.3846153846,1.309,8.384615385,1.277266713,7.769230769,2.027060522
lawyer,evidence,7.0769230769,1.742,5.769230769,2.847626092,5.115384615,3.663751755
liability,insurance,7.0384615385,1.664,6.076923077,2.714514642,5.884615385,3.305007855
life,death,8.3076923077,1.437,7.576923077,2.396578758,7.038461538,3.54413564
life,lesson,5.6153846154,2.093,3.653846154,2.173559057,3.692307692,2.146105596
life,term,4.2307692308,2.774,4.961538462,2.569545505,4.153846154,2.771767001
line,insurance,2.5384615385,1.664,1.115384615,1.083086757,1.692307692,2.066987155
liquid,water,7.7115384615,1.266,9.384615385,0.9388345202,8.307692308,2.026269782
listing,category,6.5384615385,2.295,7.384615385,1.850155919,5.115384615,3.150091574
listing,proximity,2.2307692308,1.589,3.807692308,2.940652291,2.730769231,2.175769831
lobster,food,7.9230769231,1.605,7.192307692,1.493575988,7.538461538,1.831000847
lobster,wine,5.8653846154,2.073,1.730769231,1.727418409,1.846153846,1.125178049
love,sex,6.7692307692,1.922,7.153846154,1.650563229,6.230769231,1.053078515
lover,quarrel,6.1538461538,2.125,3.884615385,1.769579118,3.730769231,2.69733962
luxury,car,6.1923076923,1.316,3.5,1.399404635,3.846153846,2.995723448
magician,wizard,9.0192307692,1.317,8.730769231,1.494648574,8.307692308,1.774101434
man,governor,4.9230769231,2.188,4.0,2.34520788,4.615384615,1.83886113
man,woman,8.8269230769,0.85,7.0,3.208062759,6.961538462,2.045946587
Maradona,football,8.6153846154,1.139,4.192307692,3.556323368,2.884615385,2.701495312
marathon,sprint,7.4230769231,1.152,6.192307692,2.926448797,6.153846154,1.546294164
Mars,scientist,5.3846153846,2.663,3.076923077,1.705947364,2.923076923,2.334935347
Mars,water,2.6153846154,2.256,1.307692308,1.750457816,1.076923077,1.426624131
media,gain,2.8461538462,1.951,1.307692308,2.026269782,1.269230769,1.715315625
media,radio,7.4230769231,1.289,7.5,1.38443731,6.692307692,2.296178542
media,trading,3.9230769231,2.019,1.846153846,1.818706218,1.769230769,1.615231983
Mexico,Brazil,7.7692307692,1.033,4.307692308,3.230960007,4.923076923,2.019139192
midday,noon,9.2884615385,1.29,9.538461538,1.376310564,8.653846154,1.359911385
mile,kilometer,8.6538461538,0.718,8.0,1.658312395,8.076923077,1.565861768
minister,party,6.6923076923,1.964,2.384615385,2.709196115,2.115384615,2.39925202
ministry,culture,4.7692307692,1.964,2.538461538,2.528681627,3.0,1.892969449
minority,peace,3.9230769231,1.977,1.307692308,1.548365557,2.230769231,2.166173514
money,bank,8.5,1.061,8.384615385,1.609268029,6.692307692,2.106917788
money,cash,9.0769230769,1.382,9.657894737,0.7274886708,9.375,0.6208193511
money,cash,9.1538461538,0.899,9.657894737,0.7274886708,9.375,0.6208193511
money,currency,9.0384615385,1.314,9.692307692,0.5219539227,9.5,0.8416254115
money,deposit,7.7307692308,1.235,6.730769231,2.287788093,6.384615385,2.319786683
money,dollar,8.4230769231,1.272,9.153846154,1.179417501,9.5,0.7071067812
money,laundering,5.6538461538,2.393,5.615384615,2.799954212,3.923076923,2.271619777
money,operation,3.3076923077,1.437,1.807692308,1.854481751,2.153846154,2.192645048
money,possession,7.2884615385,1.249,5.653846154,2.192645048,6.0,3.16885889
money,property,7.5730769231,1.07,4.846153846,2.2303271,3.576923077,2.531848418
money,wealth,8.2692307692,1.363,9.115384615,0.9163752451,8.192307692,2.22240918
money,withdrawal,6.8846153846,2.103,6.076923077,2.928638434,4.923076923,2.722178615
monk,oracle,5.0,2.082,3.692307692,3.031353256,6.730769231,1.763228391
monk,slave,0.9230769231,1.038,1.461538462,1.651533864,1.961538462,2.076270078
month,hotel,1.8461538462,1.772,0.3076923077,0.4803844614,1.230769231,1.93234944
morality,importance,3.1538461538,2.478,3.192307692,2.479402327,3.692307692,2.231763704
morality,marriage,3.6923076923,1.702,3.769230769,1.899730075,3.0,2.637865299
movie,critic,6.7307692308,1.975,5.538461538,2.947184663,4.923076923,2.856616252
movie,popcorn,6.1923076923,2.037,5.461538462,2.358155516,4.153846154,2.853248261
movie,star,7.3846153846,1.46,6.538461538,1.664100589,4.807692308,3.119418092
movie,theater,7.9230769231,1.272,7.923076923,1.869114695,8.423076923,1.718116142
murder,manslaughter,8.3384615385,1.765,8.692307692,1.762319276,8.730769231,1.57606293
museum,theater,7.6153846154,0.893,4.5,2.62995564,5.846153846,1.419868177
music,project,3.7692307692,2.127,2.769230769,2.32392793,2.615384615,2.337679103
nature,environment,8.3846153846,0.939,8.807692308,1.071184343,9.0,0.9354143467
nature,man,6.1538461538,1.725,4.615384615,2.355435612,3.307692308,2.545735499
network,hardware,8.2307692308,0.696,5.538461538,2.249643846,4.307692308,2.832390492
news,report,7.9615384615,1.127,8.461538462,1.391365314,7.538461538,2.096242059
noon,string,0.5384615385,0.776,0.4615384615,0.4311582493,0.7692307692,1.072679368
observation,architecture,4.6923076923,1.702,1.923076923,2.109958075,2.653846154,2.24893137
oil,stock,6.1923076923,1.548,3.5,2.791355704,2.730769231,1.87766904
OPEC,country,5.4615384615,2.295,3.115384615,2.739782885,2.730769231,2.185324009
OPEC,oil,8.5,1.0,7.615384615,3.241359322,6.692307692,3.307431415
opera,industry,2.6153846154,2.142,2.269230769,2.21373915,2.307692308,2.097006413
opera,performance,6.7692307692,1.911,6.884615385,2.142368687,7.461538462,1.298421132
peace,atmosphere,3.5384615385,2.106,1.923076923,2.387869987,1.846153846,1.344504484
peace,insurance,3.0769230769,2.431,2.0,2.061552813,2.769230769,2.350668208
peace,plan,4.7692307692,1.641,3.192307692,2.487790699,2.923076923,2.387869987
phone,equipment,6.9230769231,1.272,4.038461538,2.076270078,4.692307692,2.428463691
physics,chemistry,7.3461538462,1.463,7.307692308,2.005601131,6.192307692,1.109400392
physics,proton,8.1153846154,1.402,5.0,2.943920289,5.423076923,2.370356459
plane,car,5.7692307692,1.363,3.5,2.34520788,3.576923077,2.752621128
planet,astronomer,7.9423076923,1.308,6.307692308,2.470985478,5.230769231,2.948271984
planet,constellation,8.0576923077,1.011,6.153846154,2.648778141,4.961538462,2.672869389
planet,galaxy,8.1115384615,1.368,6.769230769,2.204308136,7.230769231,1.37863738
planet,moon,8.0769230769,1.305,6.923076923,2.49871762,7.423076923,1.618205717
planet,people,5.6153846154,2.181,3.692307692,3.099317543,3.076923077,2.675865544
planet,space,7.9230769231,1.539,6.923076923,1.934835844,6.269230769,2.594990243
planet,star,8.4538461538,1.367,7.269230769,1.678483748,6.923076923,2.008794766
planet,sun,8.0192307692,1.285,7.153846154,2.105395998,6.730769231,2.488434788
population,development,3.7692307692,2.127,3.807692308,2.268796134,3.5,2.783882181
possibility,girl,1.6923076923,1.494,0.4615384615,0.5575817751,0.7307692308,0.8807048459
practice,institution,3.3076923077,1.974,4.5,2.245365598,3.307692308,2.742705944
precedent,antecedent,6.0384615385,3.01,6.384615385,2.902253766,6.576923077,3.365549447
precedent,cognition,2.8076923077,2.689,2.461538462,2.5038432,2.692307692,2.08704797
precedent,collection,2.5,2.582,2.269230769,2.32392793,2.538461538,2.164693381
precedent,example,5.8461538462,3.217,6.5,2.813657169,6.692307692,2.681250187
precedent,group,1.7692307692,2.088,1.461538462,1.994383138,2.192307692,2.349986361
precedent,information,3.8461538462,2.569,4.038461538,2.569545505,4.038461538,2.904461643
precedent,law,6.6538461538,1.983,6.692307692,2.036525447,7.076923077,1.754116039
prejudice,recognition,3.3076923077,2.428,2.192307692,1.627094311,1.653846154,1.724632997
preservation,world,6.4615384615,1.761,4.576923077,2.298968554,3.923076923,2.668068542
president,medal,3.0,2.273,2.346153846,1.784010176,1.423076923,1.718116142
problem,airport,1.8461538462,1.725,1.538461538,2.076270078,1.269230769,1.452230822
problem,challenge,6.7692307692,2.118,8.115384615,2.39925202,7.961538462,1.464319217
production,crew,6.3076923077,2.016,6.653846154,0.800640769,5.307692308,2.817641312
production,hike,1.6923076923,1.653,1.576923077,2.059997511,1.769230769,1.921537846
professor,cucumber,0.3076923077,0.63,0.3461538462,0.6887372317,0.6153846154,1.792970605
professor,doctor,6.6153846154,1.722,5.307692308,2.12660196,6.0,2.169869428
profit,loss,8.1538461538,1.663,4.692307692,3.038218101,4.153846154,3.430164084
profit,warning,3.7692307692,2.242,1.269230769,1.165750556,1.615384615,2.292686253
psychology,anxiety,7.0,1.458,6.807692308,2.296178542,5.192307692,2.496150883
psychology,clinic,6.5769230769,1.73,6.0,2.226731536,4.961538462,3.12557687
psychology,cognition,7.4807692308,1.763,6.346153846,1.951330907,6.153846154,2.366296468
psychology,depression,7.4230769231,1.525,6.730769231,2.251068123,5.730769231,2.626907122
psychology,discipline,5.5769230769,2.06,4.692307692,2.71215214,5.0,2.336307628
psychology,doctor,6.4230769231,1.73,6.076923077,2.422517233,6.269230769,2.750873987
psychology,fear,6.8461538462,1.56,4.269230769,2.666265996,5.0,2.590045045
psychology,Freud,8.2115384615,1.346,7.615384615,2.18091959,5.346153846,2.640901167
psychology,health,7.2307692308,1.467,6.846153846,2.478109288,5.615384615,2.218800785
psychology,mind,7.6923076923,1.451,7.192307692,2.795371633,7.769230769,2.269502374
psychology,psychiatry,8.0769230769,1.397,8.115384615,1.609268029,8.269230769,1.284772753
psychology,science,6.7115384615,1.713,7.0,1.414213562,6.307692308,1.995186515
reason,criterion,5.8846153846,2.311,5.576923077,2.215909838,5.153846154,2.444250187
reason,hypertension,2.3076923077,2.175,1.076923077,1.668908748,0.6923076923,0.7227972727
record,number,6.3076923077,1.75,5.653846154,2.672269755,4.769230769,2.912726276
registration,arrangement,6.1538461538,2.075,3.269230769,2.403256338,4.346153846,2.764240518
report,gain,3.3846153846,2.103,2.384615385,1.970129502,2.038461538,1.587208483
rock,jazz,7.8846153846,1.121,5.423076923,2.675865544,6.346153846,2.075498087
rooster,voyage,0.6153846154,0.768,0.3076923077,0.8301220176,1.0,1.881931632
school,center,3.2307692308,1.641,4.461538462,2.989297147,3.346153846,2.276552725
seafood,food,8.2692307692,1.452,8.576923077,1.631029249,8.230769231,1.888731768
seafood,lobster,8.7115384615,1.145,8.961538462,0.967417922,7.692307692,1.614239521
seafood,sea,7.5,1.323,7.076923077,2.396578758,7.384615385,1.861382172
secretary,senate,4.6923076923,2.25,3.923076923,2.928638434,3.423076923,2.481986384
seven,series,3.4615384615,1.761,1.615384615,1.721843079,2.269230769,2.463190551
shore,woodland,3.0769230769,2.216,1.807692308,1.98471725,3.076923077,2.431101892
shower,flood,6.8076923077,1.678,4.423076923,2.413902044,6.076923077,2.921516115
shower,thunderstorm,6.6923076923,2.057,7.0,2.508319491,5.653846154,2.239648553
sign,recess,2.1538461538,1.908,0.8461538462,0.9216067352,1.923076923,2.019139192
situation,conclusion,5.3076923077,1.75,4.807692308,2.097006413,3.884615385,2.542586004
situation,isolation,3.8461538462,2.478,1.461538462,1.676573123,1.653846154,1.573009528
size,prominence,5.4615384615,2.076,6.653846154,1.795650014,7.076923077,1.718116142
skin,eye,6.5,1.472,3.346153846,1.897197663,2.653846154,1.929859833
smart,student,4.6153846154,1.387,5.269230769,2.743290183,4.230769231,2.385855757
smart,stupid,5.8076923077,2.594,3.615384615,3.209061689,3.692307692,3.654554587
soap,opera,7.8461538462,1.36,4.807692308,3.224505528,3.576923077,3.328201177
space,chemistry,4.8846153846,2.083,3.269230769,2.006400016,3.153846154,2.741537095
space,world,6.7307692308,1.787,6.307692308,1.974192467,6.538461538,1.464319217
start,match,4.1153846154,2.567,3.038461538,2.657234923,3.461538462,2.268089674
start,year,3.8461538462,2.004,2.538461538,2.393232981,2.192307692,1.963611273
stock,CD,1.3076923077,1.316,3.923076923,3.43902938,3.5,2.40658818
stock,egg,1.8076923077,1.774,0.9230769231,1.336134877,2.076923077,1.880227755
stock,jaguar,0.9230769231,1.32,0.2692307692,0.5633007121,1.115384615,2.732168295
stock,life,0.9230769231,1.382,1.692307692,1.521217461,1.461538462,1.232570797
stock,live,3.7307692308,2.743,3.0,3.075440348,2.461538462,2.846500325
stock,market,8.0769230769,1.239,7.307692308,2.349986361,7.115384615,2.246792586
stock,phone,1.6153846154,1.261,1.038461538,1.126601424,1.269230769,1.87766904
street,avenue,8.7692307692,0.904,8.5,1.307032262,7.653846154,2.427143515
street,block,7.0769230769,1.835,7.653846154,2.303842943,6.0,2.692582404
street,children,4.8461538462,1.625,1.423076923,2.31702174,1.307692308,2.106917788
street,place,6.1538461538,1.281,5.653846154,1.625123269,4.653846154,2.918223028
stroke,hospital,7.2692307692,1.536,4.923076923,2.636649972,3.730769231,2.743290183
student,professor,6.8076923077,1.75,7.153846154,1.772293892,5.961538462,3.023942918
sugar,approach,0.9230769231,1.498,0.1538461538,0.2401922307,0.8846153846,1.416478117
summer,drought,6.8846153846,1.583,5.269230769,2.795944866,5.0,1.903943276
summer,nature,5.4615384615,1.713,5.730769231,2.0778132,5.153846154,2.18312291
telephone,communication,7.5,1.155,8.230769231,1.93234944,7.884615385,1.970129502
television,film,7.7307692308,1.333,7.538461538,1.737593384,7.115384615,1.685153877
television,radio,6.7692307692,1.522,5.846153846,2.409915415,5.884615385,2.132622077
tennis,racket,7.5615384615,1.809,7.538461538,2.286386691,7.038461538,2.478755891
territory,kilometer,5.3461538462,2.135,2.576923077,2.413902044,3.115384615,1.959526369
territory,surface,5.5,2.041,4.576923077,2.253202849,5.384615385,2.880638284
theater,history,3.9615384615,2.184,2.653846154,2.144611614,3.192307692,1.726490437
tiger,animal,7.0,1.568,8.653846154,1.161619118,8.076923077,2.080125736
tiger,carnivore,7.0846153846,1.262,7.346153846,2.452758782,7.153846154,2.2303271
tiger,cat,7.3461538462,1.405,8.461538462,1.919869119,8.153846154,1.546294164
tiger,fauna,5.6153846154,2.866,2.615384615,2.90942324,4.692307692,3.727926488
tiger,feline,8.0,1.118,8.615384615,1.157472933,8.346153846,1.297186304
tiger,jaguar,8.0,1.369,7.576923077,1.742198729,7.461538462,1.435582612
tiger,mammal,6.8461538462,1.477,7.807692308,1.164375039,8.076923077,2.09011716
tiger,organism,4.7692307692,2.743,4.730769231,2.773500981,4.923076923,2.206488102
tiger,tiger,10.0,0.0,10.0,0.0,9.884615385,0.4160251472
tiger,zoo,5.8653846154,1.509,5.538461538,2.75727476,4.038461538,3.023942918
tool,implement,6.4615384615,1.664,6.0,2.598076211,5.615384615,3.130188001
train,car,6.3076923077,1.64,5.153846154,2.444250187,6.346153846,1.599278684
